OBJECTID,CSA2010,viol10,viol11,viol12,viol13,viol14,viol15,viol16,viol17,viol18,SHAPE_Length,SHAPE_Area
1,Allendale/Irvington/S. Hilton,12.6410556823087,12.5177283097984,13.874329407412,12.6410556823087,10.1128,15.04593944626,15.6009126225565,19.3623974841216,20.6573348954801,38770.1655711966,63770461.7790932
2,Beechfield/Ten Hills/West Hills,8.39856490541422,7.17547292889759,7.01239399869537,6.44161774298761,6.93085,7.90932811480756,8.39856490541422,11.0078277886497,12.3124592302674,37524.9505333862,47882527.7112373
3,Belair-Edison,13.2636655948553,14.0675241157556,14.9288011024345,12.3449701423978,10.1631,11.7707854846118,14.8139641708773,19.2926045016077,15.2158934313275,31307.3148434905,44950030.4722053
4,Brooklyn/Curtis Bay/Hawkins Point,25.3457838938426,21.2736080881837,15.2355543073791,16.0780734395844,14.1122,18.7460506915677,26.1180930983641,29.9094291932879,24.3628449062697,150987.70363871,176077742.748461
5,Canton,8.2716049382716,7.65432098765432,6.66666666666667,6.91358024691358,6.2963,4.5679012345679,8.2716049382716,10.3703703703703,9.1358024691358,23338.6119476392,15408538.2249734
6,Cedonia/Frankford,11.9709640446576,11.2917604109182,12.1407649530925,11.8011631362228,12.82,11.6738124548966,13.1595704037016,15.6216835760071,14.5179776711805,39962.5498346887,71541340.306082
7,Cherry Hill,22.5554742745672,22.1897098268715,19.6293586930017,16.2155571811753,15.484,19.3855157278712,23.530846135089,26.7008046817849,20.848573518654,22305.3020666774,29144181.351516
8,Chinquapin Park/Belvedere,12.6353790613718,7.09128416709644,9.02527075812274,9.1542031975245,9.02527,7.60701392470345,8.25167612171222,10.5724600309437,8.12274368231047,21705.411630324,21022590.1303212
9,Claremont/Armistead,13.2426193658122,12.6351597618758,8.86891021747054,7.8969748511724,9.84085,11.5417324747904,13.7285870489612,15.7939497023447,14.093062811323,40104.4159801772,61243774.4204004
10,Clifton-Berea,23.2934980757545,23.496050232935,19.9513874822767,15.393963945716,16.8118,23.6986023901154,24.7113631760178,25.1164674903787,25.1164674903788,24022.7646207856,23285233.9251306
11,Cross-Country/Cheswolde,1.76461562068436,1.22755869264999,1.15083627435937,0.997391437778119,0.537057,0.920669019487494,1.84133803897498,2.8387294767531,1.84133803897499,26788.3018784185,38222018.3165464
12,Dickeyville/Franklintown,7.07144598878322,6.0960741282614,8.53450377956596,7.80297488417459,7.80297,7.07144598878322,6.82760302365276,9.02218970982687,5.85223116313094,31637.8174238148,35719112.414486
13,Dorchester/Ashburton,15.4420498896996,16.3753605973189,13.4905820464958,14.5087391820804,12.6421,12.5572713388766,12.1330391990497,15.9511284574919,14.2541998981843,27136.0757115223,34118277.1815219
14,Downtown/Seton Hill,97.8530140379851,70.7415451442755,64.8464163822526,67.793980763264,58.7962,79.4291033198883,97.5798945082221,80.9804529941048,93.8566552901024,21565.8593945388,20736554.4071934
15,Edmondson Village,8.22784810126582,10.126582278481,11.1392405063291,8.86075949367089,8.60759,9.62025316455696,9.49367088607594,14.1772151898734,11.8987341772152,21504.5513578719,23563061.0426838
16,Fells Point,13.4970682597632,17.4798097134639,17.4798097134639,15.3778072795663,13.4971,16.5947560570859,19.4711804403141,19.1392853191724,19.0286536121252,27670.1699158504,12620515.7178779
17,Forest Park/Walbrook,10.3563813585136,11.7778454665448,11.7778454665448,13.0977764240024,11.7778,11.9809117676921,12.5901106711341,14.9253731343283,15.8391714894913,36886.899781185,37200535.0297002
18,Glen-Fallstaff,11.7339412632426,11.3986857985785,13.3431674936301,12.2032989137723,11.3316,13.4772696794957,12.2032989137722,17.366233069599,16.9639265120021,48549.0046179359,46995477.4779553
19,Greater Charles Village/Barclay,17.1435543896041,15.1912634982612,16.2284180342871,14.9472271368434,16.6555,21.4141907144164,20.9261179915807,23.4884997864681,20.8040998108718,26454.2692113378,27051213.4555493
20,Greater Govans,12.0775208313828,9.1751708641513,11.2349030989608,9.83054021159068,8.98792,11.3285272914521,12.4520176013481,14.0436288737009,13.4818837187529,22982.1257150065,22698495.7172767
21,Greater Mondawmin,24.7800901094186,21.990989058142,27.5691911606951,25.3164556962025,27.3546,28.4273760995494,20.1673460630765,27.3546449259815,30.2510190946149,31136.7318903894,33663448.2791136
22,Greater Roland Park/Poplar Hill,2.03334688897926,3.66002440016267,2.03334688897926,2.30445980750983,2.1689,4.2022502372238,4.06669377795851,3.79558085942795,2.5755727260404,39862.7497953315,56688145.179702
23,Greater Rosemont,19.5233397372657,19.0041019782959,16.9271509424165,19.4714159613687,18.4849,15.5252089931979,18.0694740121501,27.4157536736071,25.0791837582429,32559.0762212062,42204384.5422658
24,Greenmount East,19.6513470681458,26.2707722385142,26.1485826001955,27.0039100684262,19.5503,22.605083088954,25.5376344086021,32.8690127077223,27.4926686217009,20797.473457859,19072287.8238042
25,Hamilton,9.46008306414398,7.46039070912167,7.22965697584987,9.61390555299185,9.46008,9.46008306414397,10.3061067528072,11.9212428857098,12.2288878634056,27712.1110914795,45191100.5593894
26,Harbor East/Little Italy,28.4815979286111,24.042907342334,27.1869798409469,32.1805067505086,28.1117,28.2966524875161,40.6879970408729,41.0578879230626,34.3998520436471,18552.4075815481,10215859.0840198
27,Harford/Echodale,10.6894708711919,11.8771898568799,7.30447176198112,9.56113783478829,8.78912,9.97683947977908,9.85806758121028,12.649207197577,9.91745353049468,40019.1854001864,65360039.1701278
28,Highlandtown,20.6896551724138,16.551724137931,20.8275862068966,21.1034482758621,20.8276,17.3793103448275,21.5172413793103,28.1379310344827,31.0344827586207,14976.1238513953,11684191.1190149
