OBJECTID,CSA2010,phisp10,phisp15,phisp16,phsip17,phisp18,phisp19,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,1.28877104273293,1.56094527363184,1.59951529839443,2.062656941,2.7031952375167,2.802068041,63770461.7796021,38770.1655712393
2,Beechfield/Ten Hills/West Hills,1.59001956947162,2.83852606351108,1.62169818001558,1.784780823,2.15546892914469,1.213724422,47882527.7110596,37524.9505334171
3,Belair-Edison,1.22301332108406,0.744615384615385,1.36021954420714,1.242807825,1.51557363347634,1.614664138,44950030.4716797,31307.3148434597
4,Brooklyn/Curtis Bay/Hawkins Point,9.79428491188654,11.3291398878709,12.9083550159005,14.90697674,14.7117774392688,15.38401559,176077742.748718,150987.703638772
5,Canton,4.98765432098765,4.91967871485944,3.16548521143975,3.08671631,3.19662990955271,4.41265608,15408538.2247314,23338.6119476477
6,Cedonia/Frankford,1.97393556055525,3.80574659297076,2.76448009660586,3.324558424,3.14885098219126,3.100680438,71541340.3063965,39962.5498347165
7,Cherry Hill,1.59717142160449,4.65987589275261,4.55332838406335,5.813088746,4.77307376568547,4.051694027,29144181.3516235,22305.3020666822
8,Chinquapin Park/Belvedere,3.7132542547705,5.54019949525297,5.36285071623061,5.940828402,7.38629616435102,6.496384418,21022590.1307373,21705.411630344
9,Claremont/Armistead,11.383792977767,10.309649543927,11.4857271296921,15.24841721,15.1032386542291,18.9486073,61243774.4211426,40104.415980189
10,Clifton-Berea,1.03301600162042,2.24652323784619,1.80015950780449,2.03497965,2.61724301279014,3.399200188,23285233.9251099,24022.7646207842
11,Cross-Country/Cheswolde,2.2479668559153,2.04052511415525,2.14500844780724,2.660891089,4.91241147968691,6.496193925,38222018.3164673,26788.3018783838
12,Dickeyville/Franklintown,1.87759083150451,1.98886237072395,1.79623912433343,1.79576521,0.415692387633151,0.8691206544,35719112.4142456,31637.8174237991
13,Dorchester/Ashburton,1.01815713558459,0.0170082490007654,0.844764135162262,0.984420476,1.66069399528013,2.035311427,34118277.1812134,27136.0757115219
14,Downtown/Seton Hill,4.46788706174372,5.46254016573651,5.76464983325393,4.959436706,6.42743911226401,7.838510945,20736554.4064941,21565.859394559
15,Edmondson Village,0.89873417721519,1.31886087768441,1.47991543340381,1.31127451,1.60240360540811,1.775956284,23563061.0443115,21504.551357829
16,Fells Point,15.1233543533577,13.9081183134047,10.5722070844687,11.03755155,10.7541750877566,11.12350775,12620515.7171631,27670.1699158053
17,Forest Park/Walbrook,1.26916438217078,1.4062843331136,1.44300144300144,1.024025207,1.28798185941043,1.458411743,37200535.0296631,36886.8997811279
18,Glen-Fallstaff,5.73286844575567,5.74632905538212,5.09154002632524,4.499183109,3.94877941083706,3.033052495,46995477.4781494,48549.0046179293
19,Greater Charles Village/Barclay,4.78921359282533,5.20053152935492,4.89252194974266,5.189803778,5.82927697969844,6.076772136,27051213.4559937,26454.2692113332
20,Greater Govans,1.34818837187529,2.3044043858019,2.13152360925253,1.948717949,1.95045294878905,2.831892046,22698495.7178955,22982.125714974
21,Greater Mondawmin,0.922548809268397,0.430848772081,1.17708880714661,1.023214875,1.20139799038881,1.648412435,33663448.2791138,31136.7318903515
22,Greater Roland Park/Poplar Hill,2.5755727260404,2.93963254593176,3.2876003106394,3.26557377,5.15740120562625,5.445140212,56688145.1790161,39862.7497953118
23,Greater Rosemont,0.965782231683888,1.45224233894185,1.40777283118758,0.645607563,0.691586648376771,0.5861735557,42204384.5406494,32559.0762211491
24,Greenmount East,0.928641251221896,1.91132492523729,2.0480404551201,1.973767987,0.0264410364886303,0.9617953513,19072287.8240967,20797.4734578598
25,Hamilton,2.26119058606368,1.49032401571884,1.4797739440809,1.637097937,1.47440171890049,1.928289321,45191100.5593872,27712.1110915054
26,Harbor East/Little Italy,6.78749768818199,8.69565217391304,10.633045318286,14.69552974,8.00318534740195,8.177720541,10215859.0836182,18552.4075815937
27,Harford/Echodale,3.44438505849516,3.34857284072655,3.31897643780086,3.253191226,2.88949387452048,3.174015067,65360039.1698608,40019.1854001996
28,Highlandtown,19.2689655172414,17.1158845259269,16.0689655172414,16.86115117,17.6722982032716,16.85767591,11684191.1186523,14976.1238513698
29,Howard Park/West Arlington,1.58190011956222,0.663318487633848,0.833642089662838,0.777728679,1.39175720571069,1.488593323,63262430.0730591,36034.4984469719
30,Inner Harbor/Federal Hill,3.1660832360949,4.67296729672967,5.25147928994083,5.254249761,5.99879117558174,4.084766585,24995836.2615967,43415.0595478862
31,Lauraville,2.28143078301964,2.35159630930024,3.64113498441857,3.879204518,3.61040452941659,3.887935963,49665744.2354736,34419.676527973
32,Loch Raven,1.81568806740252,1.75367284129841,1.89973614775726,2.027422946,2.37772576074904,1.723475141,44147812.3265381,29314.3346718286
33,Madison/East End,4.00976738208457,7.00999444752915,9.40537449971412,8.936428463,10.063575748178,8.727849775,8897845.19189453,13120.1587193642
34,Medfield/Hampden/Woodberry/Remington,3.55417529330573,4.51790003431316,4.03510838831291,3.664505078,3.59441408621736,3.448275862,62441489.2398071,43152.625699222
35,Midtown,3.8948069241012,5.77282391598479,6.18319661943823,6.083501596,5.71355203184181,5.959468018,23823949.9294434,25020.0969698082
36,Midway/Coldstream,1.08063175394846,1.99871740059855,1.57362738341374,1.410298459,1.0164622693625,0.5652324374,17884471.2862549,22767.8274161904
37,Morrell Park/Violetville,4.27264614011602,6.64880040837162,8.82391332724187,9.410075698,7.22771039139677,5.638284332,67470845.9901123,44412.745130342
38,Mount Washington/Coldspring,2.53482972136223,3.54499415660304,3.60144057623049,4.23439695,4.77962781586679,4.229432213,56943058.6497192,38539.7661484899
39,North Baltimore/Guilford/Homeland,3.32684379294549,3.58847547300017,3.37708899554733,3.854606932,3.46926008075982,3.495509833,74923987.6937256,42904.2221443544
40,Northwood,1.67037192813796,2.67862410761697,3.52736750651607,4.087333257,4.43067033976124,4.837336059,52743271.7706299,38889.8945908862
41,Oldtown/Middle East,1.73635365731963,1.17393645665051,1.46406388642413,1.604390965,2.39711497666525,1.800327332,24585968.2341919,23866.3281788863
42,Orangeville/East Highlandtown,30.3471689847771,31.8871595330739,35.0667189952904,35.22737841,36.8060122123062,35.76620825,89894372.2113037,47825.8629266244
43,Patterson Park North & East,21.0804866313836,15.5270064926095,17.0927933456058,14.01664786,14.3106457242582,13.85346714,14507643.2044067,21786.3746601014
44,Penn North/Reservoir Hill,1.48944973107158,1.85325264750378,2.84540921091229,2.876336456,1.68776371308016,1.958359101,41059796.6773071,29078.8384985548
45,Pimlico/Arlington/Hilltop,1.10866621530129,0.898511038849906,0.59907415811927,0.567697985,0.816961680606885,0.6344913668,30400962.0054932,24725.9340693612
46,Poppleton/The Terraces/Hollins Market,1.67125442390877,1.81041497152156,2.03436697610113,1.36532892,2.40106714095153,2.261513158,9302012.99926758,12334.0275347411
47,Sandtown-Winchester/Harlem Park,0.731740064446831,0.380203634488981,0.141299959628583,0.333232354,0.404056409443828,0.4398578921,23672092.8682861,20987.1433066354
48,South Baltimore,2.5913206369029,5.01620402987178,4.59426396629061,3.973054715,3.31573961293815,4.44354947,46353935.4255981,68440.0258266401
49,Southeastern,19.9201277955272,21.8699623858141,23.3044733044733,25.59178944,26.5425101214574,28.23419786,111251478.472229,102291.480547698
50,Southern Park Heights,0.940981632038543,2.67899002076217,2.85714285714286,1.885150812,2.43445692883895,2.802994107,27876227.5908203,24052.221372193
51,Southwest Baltimore,3.6399217221135,6.16794071307697,6.45435484784949,6.732767322,6.11230842911877,4.04366643,37766068.8365479,28355.563581391
52,The Waverlies,2.43776602605443,1.26988199076449,3.14773012289942,3.723854431,4.20219997528117,5.062637221,20383750.5437012,18733.826879757
53,Upton/Druid Heights,1.37304196480371,0.506404527852249,0.604760046820133,0.636630754,1.06427818756585,0.9452201933,16976622.3380127,19389.3078212169
54,Washington Village/Pigtown,3.43449027803017,2.35734331150608,3.38145896656535,2.646677772,5.59336099585062,5.817636273,39343262.0375977,36962.2600947677
